Artist Name,Total Minutes,Plays,target_plays,Predicted Plays
usher,267.92695,69,3.0,4.092917687927847
victoria monét,529.7598833333334,150,7.0,4.092917687927847
the weeknd,252.64806666666667,68,0.0,4.092917687927847
jhené aiko,265.08113333333336,74,1.0,4.092917687927847
doja cat,290.27845,87,3.0,4.092917687927847
5 seconds of summer,268.6750166666667,84,5.0,4.092917687927847
ac/dc,253.86636666666666,57,2.0,4.092917687927847
bts,379.4973,99,2.0,4.092917687927847
beyoncé,2342.2157,594,34.0,4.092917687927847
megan thee stallion,914.6275833333333,292,12.0,4.092917687927847
